Structure;Conformer;Relative Energy (kcal/mol);Boltzmann Distribution;Buried Volume
ptol3;27;10.68574858677314;4.281233510798925e-09;Error
ptol3;54;10.798699126773323;3.5376558302533098e-09;Error
ptol3;21;10.863331935966835;3.1717946224807975e-09;38.6
ptol3;37;10.867724457027084;3.148349837640528e-09;38.6
ptol3;26;11.361569317707652;1.3671928655367552e-09;Error
ptol3;29;11.379766904875723;1.3258096939335115e-09;42.1
ptol3;28;12.042410072914842;4.3292062820193864e-10;36.2
ptol3;38;12.275841188896196;2.918623334042763e-10;36.1
ptol3;50;12.34612152500411;2.5919395153496833e-10;36.1
ptol3;51;12.762156013881128;1.2836552609770164e-10;37.0
ptol3;48;12.806708726839982;1.19060408045728e-10;37.0
ptol3;43;13.043277357742076;7.984278099856122e-11;38.7
ptol3;47;13.063984956903811;7.709849080502669e-11;38.7
ptol3;32;13.416014140085105;4.2542170441751284e-11;38.3
ptol3;42;13.855266239832167;2.025873025863859e-11;38.2
tbu2cy;4;0.0;0.23310474409658724;41.3
tbu2cy;3;0.0006275029270768755;0.23285781394551944;41.3
tbu2cy;8;0.0031375149207397046;0.23187270621547182;Error
tbu2cy;1;0.005020023987325658;0.23113661128389912;41.3
tbu2cy;7;0.7799862290995503;0.062431359314941086;41.3
tbu2cy;5;1.9684769108097755;0.008386901989861832;Error
tbu2cy;2;4.38499096405782;0.00014157952572738946;39.7
tbu2cy;6;4.8167130278238925;6.828362799200571e-05;Error
tbu2cy-thf;11;0.0;0.5515123769094693;47.5
tbu2cy-thf;5;0.18574088810176;0.4030023266779172;46.8
tbu2cy-thf;2;2.407729011127547;0.009449270838196843;Error
tbu2cy-thf;9;2.4096115199087778;0.009419273520134204;53.5
tbu2cy-thf;10;2.4108665260482867;0.009399328226918392;53.5
tbu2cy-thf;4;2.930439009877914;0.003908152173315967;Error
tbu2cy-thf;8;2.931066513090346;0.003904012227349145;52.9
tbu2cy-thf;3;2.932949021871577;0.0038916186894233616;52.9
tbu2cy-thf;1;2.9335765250840087;0.003887496257546811;52.9
tbu2cy-thf;7;3.453149009198991;0.001616384338707973;Error
tbu2cy-thf;6;6.478340971909016;9.760141020768891e-06;52.5
