Ligand;Vbur
bisbi;58.69539246437934
PAd2Bu;40.97571471098589
Fdppe;56.1776477307963
dcype;54.89992555723158
dppe;50.75847717140248
PtBu2Np;46.485051631178806
PMes3;46.8762512400612
PtBu3;42.242809189590844
ptol3;44.56125094047705
tbu2cy-thf;47.39233552210372
PtBu2Cy;41.29970180919015
BIPHEP;53.63005060141571
dppbz; 49.02838
