Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
0,1.06201171874999E-06,0
0.005035400390625,1.11026248047004E-06,2.63028535154964E-07
0.01007080078125,1.15851140779791E-06,2.178313656396E-07
0.015106201171875,1.20675758523775E-06,1.87895735074749E-07
0.0201416015625,1.25500009897052E-06,1.64067283841984E-07
0.025177001953125,1.30323803724422E-06,1.44515869005782E-07
0.03021240234375,1.35147049074681E-06,1.31683806128189E-07
0.035247802734375,1.39969655295925E-06,1.15806376728255E-07
0.040283203125,1.44791532048596E-06,1.04513878732787E-07
0.045318603515625,1.49612589336031E-06,9.75020363271914E-08
0.05035400390625,1.54432737532242E-06,7.82922535838256E-08
0.055389404296875,1.59251887406726E-06,7.16046610889907E-08
0.0604248046875,1.64069950146046E-06,6.24865336957929E-08
0.065460205078125,1.68886837371999E-06,5.91785012800109E-08
0.07049560546875,1.73702461156152E-06,5.52727517197257E-08
0.075531005859375,1.78516734030565E-06,4.52769956318464E-08
0.08056640625,1.83329568994522E-06,3.59059702110317E-08
0.085601806640625,1.88140879517115E-06,3.1127825922604E-08
0.09063720703125,1.92950579535533E-06,3.1858950738423E-08
0.095672607421875,1.97758583448923E-06,3.23018608232704E-08
0.1007080078125,2.02564806107711E-06,3.18470561103899E-08
0.105743408203125,2.07369162798282E-06,3.14109110796754E-08
0.11077880859375,2.12171569222944E-06,3.31304991768138E-08
0.115814208984375,2.16971941475096E-06,3.15134954052866E-08
0.120849609375,2.2177019600958E-06,3.26642508417011E-08
0.125885009765625,2.26566249608151E-06,3.78043007934871E-08
0.13092041015625,2.31360019340092E-06,3.56429706615826E-08
0.135955810546875,2.36151422517947E-06,4.08295248205293E-08
0.1409912109375,2.40940376648427E-06,4.42095147657325E-08
0.146026611328125,2.45726799378506E-06,4.33423577774415E-08
0.15106201171875,2.50510608436793E-06,4.76893257883235E-08
0.156097412109375,2.55291721570242E-06,4.56545616413268E-08
0.1611328125,2.60070056476317E-06,5.06666227368255E-08
0.166168212890625,2.64845530730712E-06,5.14348294116251E-08
0.17120361328125,2.6961806171078E-06,5.55894024234523E-08
0.176239013671875,2.74387566514812E-06,5.18396668831341E-08
0.1812744140625,2.79153961877351E-06,5.30038382577436E-08
0.186309814453125,2.8391716408072E-06,5.54206443490511E-08
0.19134521484375,2.8867708886298E-06,5.81754004327049E-08
0.196380615234375,2.93433651322536E-06,5.88275492746437E-08
0.201416015625,2.98186765819642E-06,5.46313652410838E-08
0.206451416015625,3.0293634587505E-06,5.19964045307489E-08
0.21148681640625,3.07682304066088E-06,5.73322327766228E-08
0.216522216796875,3.1242455192044E-06,5.11084847018482E-08
0.2215576171875,3.17162999807951E-06,4.85848456704912E-08
0.226593017578125,3.21897556830746E-06,5.43398613800384E-08
0.23162841796875,3.26628130712019E-06,4.51810952235643E-08
0.236663818359375,3.31354627683806E-06,5.16270630056892E-08
0.24169921875,3.36076952374121E-06,5.07905348525418E-08
0.246734619140625,3.40795007693789E-06,5.79312707183585E-08
0.25177001953125,3.45508694723375E-06,4.31430332350019E-08
0.256805419921875,3.50217912600566E-06,4.33531005568382E-08
0.2618408203125,3.54922558408416E-06,4.57451190408398E-08
0.266876220703125,3.59622527064829E-06,4.84890848204622E-08
0.27191162109375,3.64317711213697E-06,4.51773800505328E-08
0.276947021484375,3.6900800111809E-06,4.28301450691012E-08
0.281982421875,3.7369328455591E-06,4.29743810033995E-08
0.287017822265625,3.7837344671842E-06,4.5611235940798E-08
0.29205322265625,3.83048370112063E-06,4.58590723168679E-08
0.297088623046875,3.87717934463983E-06,4.61604991101732E-08
0.3021240234375,3.92382016631661E-06,4.56012204021397E-08
0.307159423828125,3.97040490517082E-06,4.4182497172925E-08
