Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0.720062256,4.92637E-06,2.67112E-07
0.725097656,4.95767E-06,2.68771E-07
0.730133057,4.98875E-06,2.47454E-07
0.735168457,5.01983E-06,2.52687E-07
0.740203857,5.0507E-06,2.51421E-07
0.745239258,5.08157E-06,2.32454E-07
0.750274658,5.11223E-06,2.27433E-07
0.755310059,5.14288E-06,2.24243E-07
0.760345459,5.17333E-06,2.21567E-07
0.765380859,5.20378E-06,2.04549E-07
0.77041626,5.23402E-06,2.0025E-07
0.77545166,5.26425E-06,1.80997E-07
0.780487061,5.29429E-06,1.95214E-07
0.785522461,5.32432E-06,1.85626E-07
0.790557861,5.35415E-06,1.8082E-07
0.795593262,5.38398E-06,1.79675E-07
0.800628662,5.41361E-06,1.72017E-07
0.805664063,5.44325E-06,1.70158E-07
0.810699463,5.47268E-06,1.69717E-07
0.815734863,5.50211E-06,1.68361E-07
0.820770264,5.53135E-06,1.74526E-07
0.825805664,5.56058E-06,1.66958E-07
0.830841064,5.58962E-06,1.64466E-07
0.835876465,5.61866E-06,1.76318E-07
0.840911865,5.64751E-06,1.63643E-07
0.845947266,5.67636E-06,1.64396E-07
0.850982666,5.70502E-06,1.57404E-07
0.856018066,5.73368E-06,1.65367E-07
0.861053467,5.76215E-06,1.58563E-07
0.866088867,5.79062E-06,1.52371E-07
0.871124268,5.81891E-06,1.68032E-07
0.876159668,5.84719E-06,1.6813E-07
0.881195068,5.87529E-06,1.69023E-07
0.886230469,5.90339E-06,1.64423E-07
0.891265869,5.9313E-06,1.66415E-07
0.89630127,5.95922E-06,1.7451E-07
0.90133667,5.98695E-06,1.6936E-07
0.90637207,6.01468E-06,1.69703E-07
0.911407471,6.04224E-06,1.77856E-07
0.916442871,6.06979E-06,1.75022E-07
0.921478271,6.09716E-06,1.83965E-07
0.926513672,6.12454E-06,1.86803E-07
0.931549072,6.15173E-06,1.91651E-07
0.936584473,6.17893E-06,1.90091E-07
0.941619873,6.20595E-06,1.99693E-07
0.946655273,6.23297E-06,1.94037E-07
0.951690674,6.25981E-06,1.99237E-07
0.956726074,6.28665E-06,1.95893E-07
0.961761475,6.31332E-06,2.01268E-07
0.966796875,6.33999E-06,1.95963E-07
0.971832275,6.36648E-06,2.02733E-07
0.976867676,6.39298E-06,2.09808E-07
0.981903076,6.4193E-06,2.16446E-07
0.986938477,6.44562E-06,2.11487E-07
0.991973877,6.47177E-06,2.19824E-07
0.997009277,6.49791E-06,2.25414E-07
1.002044678,6.52389E-06,2.38195E-07
1.007080078,6.54987E-06,2.42431E-07
1.012115479,6.57567E-06,2.4989E-07
1.017150879,6.60148E-06,2.55213E-07
1.022186279,6.62711E-06,2.53078E-07
1.02722168,6.65274E-06,2.55825E-07
1.03225708,6.67821E-06,2.61796E-07
1.03729248,6.70367E-06,2.68681E-07
1.042327881,6.72896E-06,2.68413E-07
1.047363281,6.75425E-06,2.73639E-07
1.052398682,6.77938E-06,2.75983E-07
1.057434082,6.8045E-06,2.78632E-07
1.062469482,6.82945E-06,2.784E-07
1.067504883,6.8544E-06,2.742E-07
1.072540283,6.87918E-06,2.88177E-07
1.077575684,6.90396E-06,2.93303E-07
1.082611084,6.92857E-06,2.93107E-07
1.087646484,6.95318E-06,2.90775E-07
1.092681885,6.97762E-06,2.89224E-07
1.097717285,7.00206E-06,3.02932E-07
1.102752686,7.02633E-06,3.02773E-07
1.107788086,7.0506E-06,3.0292E-07
1.112823486,7.07469E-06,2.96524E-07
1.117858887,7.09879E-06,2.98978E-07
1.122894287,7.12271E-06,2.98858E-07
1.127929688,7.14664E-06,3.03316E-07
1.132965088,7.17039E-06,3.04284E-07
1.138000488,7.19414E-06,2.98233E-07
1.143035889,7.21771E-06,3.06699E-07
1.148071289,7.24129E-06,3.054E-07
1.153106689,7.2647E-06,2.99696E-07
1.15814209,7.2881E-06,3.03454E-07
1.16317749,7.31133E-06,2.9762E-07
1.168212891,7.33456E-06,3.06741E-07
1.173248291,7.35761E-06,3.0383E-07
1.178283691,7.38066E-06,2.91458E-07
1.183319092,7.40354E-06,2.96659E-07
1.188354492,7.42641E-06,2.96976E-07
1.193389893,7.44911E-06,3.03575E-07
1.198425293,7.47181E-06,3.00103E-07
1.203460693,7.49433E-06,2.94064E-07
1.208496094,7.51685E-06,3.04503E-07
1.213531494,7.53919E-06,2.97728E-07
1.218566895,7.56153E-06,2.94005E-07
1.223602295,7.58368E-06,2.90462E-07
