"Potential.applied..V.","Time..s.","WE.1..Current..A.","WE.1..Potential..V.","Scan","Index","Q.","Q..1","Current.range"
0.7855224609375,59.1655398506214,-1.36962890625e-06,0.784912109375,2,8845,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.784912109375,59.1679808506152,-1.53350830078125e-06,0.78460693359375,2,8846,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7843017578125,59.170421850609,-1.60675048828125e-06,0.78369140625,2,8847,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.78369140625,59.1728628506029,-1.60064697265625e-06,0.7830810546875,2,8848,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7830810546875,59.1753038505967,-1.5869140625e-06,0.78216552734375,2,8849,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.782470703125,59.1777448505906,-1.49749755859375e-06,0.7818603515625,2,8850,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7818603515625,59.1801858505844,-1.4263916015625e-06,0.78125,2,8851,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.78125,59.1826268505782,-1.396484375e-06,0.7806396484375,2,8852,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7806396484375,59.1850678505721,-1.40655517578125e-06,0.78094482421875,2,8853,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.780029296875,59.1875088505659,-1.48223876953125e-06,0.77972412109375,2,8854,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7794189453125,59.1899498505597,-1.58966064453125e-06,0.7794189453125,2,8855,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.77880859375,59.1923908505536,-1.61468505859375e-06,0.77880859375,2,8856,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7781982421875,59.1948318505474,-1.59271240234375e-06,0.777587890625,2,8857,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.777587890625,59.1972728505413,-1.551513671875e-06,0.77728271484375,2,8858,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7769775390625,59.1997138505351,-1.41326904296875e-06,0.7763671875,2,8859,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7763671875,59.2021548505289,-1.37939453125e-06,0.7757568359375,2,8860,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7757568359375,59.2045958505228,-1.41937255859375e-06,0.77545166015625,2,8861,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.775146484375,59.2070368505166,-1.45538330078125e-06,0.7745361328125,2,8862,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7745361328125,59.2094778505104,-1.58843994140625e-06,0.77423095703125,2,8863,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.77392578125,59.2119188505043,-1.62994384765625e-06,0.77362060546875,2,8864,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7733154296875,59.2143598504981,-1.59515380859375e-06,0.77239990234375,2,8865,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.772705078125,59.2168008504919,-1.54296875e-06,0.7720947265625,2,8866,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7720947265625,59.2192418504858,-1.436767578125e-06,0.77178955078125,2,8867,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.771484375,59.2216828504796,-1.38458251953125e-06,0.770263671875,2,8868,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7708740234375,59.2241238504735,-1.4141845703125e-06,0.77056884765625,2,8869,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.770263671875,59.2265648504673,-1.44775390625e-06,0.76995849609375,2,8870,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
0.7696533203125,59.2290058504611,-1.56768798828125e-06,0.76934814453125,2,8871,3.03550680726768e-05,-7.8781619668007e-06,"1 µA"
