Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
0.515136719,2.48066E-06,2.56155E-07
0.520172119,2.50513E-06,2.6648E-07
0.52520752,2.52959E-06,2.57274E-07
0.53024292,2.55392E-06,2.67121E-07
0.53527832,2.57826E-06,2.65373E-07
0.540313721,2.60245E-06,2.68644E-07
0.545349121,2.62664E-06,2.58488E-07
0.550384521,2.6507E-06,2.49999E-07
0.555419922,2.67475E-06,2.6867E-07
0.560455322,2.69866E-06,2.38048E-07
0.565490723,2.72257E-06,2.3886E-07
0.570526123,2.74632E-06,2.35243E-07
0.575561523,2.77008E-06,2.42001E-07
0.580596924,2.79369E-06,2.36705E-07
0.585632324,2.8173E-06,2.12793E-07
0.590667725,2.84075E-06,2.21996E-07
0.595703125,2.8642E-06,2.3425E-07
0.600738525,2.88749E-06,2.31405E-07
0.605773926,2.91078E-06,2.26423E-07
0.610809326,2.93392E-06,2.01155E-07
0.615844727,2.95705E-06,2.2319E-07
0.620880127,2.98001E-06,2.37454E-07
0.625915527,3.00298E-06,2.21201E-07
0.630950928,3.02578E-06,2.37157E-07
0.635986328,3.04858E-06,2.36939E-07
0.641021729,3.07122E-06,2.47265E-07
0.646057129,3.09385E-06,2.40806E-07
0.651092529,3.11631E-06,2.50081E-07
0.65612793,3.13878E-06,2.55084E-07
0.66116333,3.16107E-06,2.68499E-07
0.66619873,3.18336E-06,2.7703E-07
0.671234131,3.20548E-06,2.9672E-07
0.676269531,3.2276E-06,3.13664E-07
0.681304932,3.24954E-06,3.26204E-07
0.686340332,3.27149E-06,3.41186E-07
0.691375732,3.29326E-06,3.74652E-07
0.696411133,3.31503E-06,4.04762E-07
0.701446533,3.33662E-06,4.37182E-07
0.706481934,3.35822E-06,4.80589E-07
0.711517334,3.37964E-06,5.39124E-07
0.716552734,3.40106E-06,5.99186E-07
0.721588135,3.4223E-06,6.55759E-07
0.726623535,3.44355E-06,7.47734E-07
0.731658936,3.46462E-06,8.24623E-07
0.736694336,3.48569E-06,9.39354E-07
0.741729736,3.50659E-06,1.06128E-06
0.746765137,3.52749E-06,1.2067E-06
0.751800537,3.54822E-06,1.35291E-06
0.756835938,3.56894E-06,1.52444E-06
0.761871338,3.5895E-06,1.72544E-06
0.766906738,3.61006E-06,1.91607E-06
0.771942139,3.63044E-06,2.14104E-06
0.776977539,3.65083E-06,2.41393E-06
0.782012939,3.67105E-06,2.69858E-06
0.78704834,3.69127E-06,2.98018E-06
0.79208374,3.71132E-06,3.28361E-06
0.797119141,3.73138E-06,3.62244E-06
0.802154541,3.75127E-06,3.94038E-06
0.807189941,3.77116E-06,4.29768E-06
0.812225342,3.7909E-06,4.65332E-06
0.817260742,3.81063E-06,5.0059E-06
0.822296143,3.83021E-06,5.36169E-06
0.827331543,3.84979E-06,5.70832E-06
0.832366943,3.86921E-06,6.06426E-06
0.837402344,3.88864E-06,6.37442E-06
0.842437744,3.90792E-06,6.69999E-06
0.847473145,3.92719E-06,7.01031E-06
0.852508545,3.94633E-06,7.28414E-06
0.857543945,3.96546E-06,7.55187E-06
0.862579346,3.98445E-06,7.79228E-06
0.867614746,4.00345E-06,8.00827E-06
0.872650146,4.02231E-06,8.19693E-06
0.877685547,4.04116E-06,8.36423E-06
0.882720947,4.05989E-06,8.48588E-06
0.887756348,4.07862E-06,8.58618E-06
0.892791748,4.09722E-06,8.63471E-06
0.897827148,4.11582E-06,8.65578E-06
0.902862549,4.13431E-06,8.63425E-06
0.907897949,4.15279E-06,8.54252E-06
0.91293335,4.17116E-06,8.44176E-06
0.91796875,4.18952E-06,8.28301E-06
0.92300415,4.20778E-06,8.06028E-06
0.928039551,4.22604E-06,7.79788E-06
0.933074951,4.2442E-06,7.48371E-06
0.938110352,4.26235E-06,7.1146E-06
0.943145752,4.28041E-06,6.69066E-06
0.948181152,4.29847E-06,6.22399E-06
0.953216553,4.31644E-06,5.72384E-06
0.958251953,4.33441E-06,5.19928E-06
0.963287354,4.35229E-06,4.67786E-06
0.968322754,4.37018E-06,4.15643E-06
