Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
0,7.91931152343758E-07,-2.288818359375E-08
0.005035400390625,7.75909423828134E-07,3.89099121093744E-08
0.01007080078125,7.5988769531251E-07,9.15527343749857E-09
0.015106201171875,7.5271606445313E-07,-1.98364257811936E-09
0.0201416015625,7.45544433593751E-07,-9.1552734374848E-10
0.025177001953125,7.46612548828125E-07,-1.52587890625576E-10
0.03021240234375,7.47680664062499E-07,-2.13623046875023E-09
0.035247802734375,7.5589370727539E-07,-6.07681274414067E-09
0.040283203125,7.64106750488281E-07,-2.69317626953098E-09
0.045318603515625,7.72319793701172E-07,-3.58200073242143E-09
0.05035400390625,7.80532836914063E-07,-5.90515136718737E-09
0.055389404296875,7.91976928710938E-07,-5.53894042968753E-09
0.0604248046875,8.03421020507813E-07,-7.55310058593743E-09
0.065460205078125,8.16555023193359E-07,-5.58090209960924E-09
0.07049560546875,8.29689025878906E-07,-2.90679931640619E-09
0.075531005859375,8.42823028564453E-07,-6.58035278320293E-09
0.08056640625,8.5595703125E-07,-7.69042968749975E-09
0.085601806640625,8.71115112304687E-07,-7.4676513671873E-09
0.09063720703125,8.86273193359375E-07,-4.31518554687489E-09
0.095672607421875,9.01431274414062E-07,-3.60412597656248E-09
0.1007080078125,9.1658935546875E-07,-6.55517578125003E-09
0.105743408203125,9.31747436523437E-07,-8.59069824218752E-09
0.11077880859375,9.46905517578125E-07,-4.82788085937492E-09
0.115814208984375,9.62063598632812E-07,-2.59094238281247E-09
0.120849609375,9.772216796875E-07,-3.1005859374998E-09
0.125885009765625,9.92379760742187E-07,-4.52575683593762E-09
0.13092041015625,1.00753784179688E-06,-8.69750976562523E-09
0.135955810546875,1.02413177490234E-06,-7.89642333984381E-09
0.1409912109375,1.04072570800781E-06,-7.40051269531228E-09
0.146026611328125,1.05731964111328E-06,-8.12530517578133E-09
0.15106201171875,1.07391357421875E-06,-6.10351562500017E-09
0.156097412109375,1.09302520751953E-06,-1.30081176757811E-08
0.1611328125,1.11213684082031E-06,-8.01086425781225E-09
0.166168212890625,1.13124847412109E-06,-8.50677490234336E-09
0.17120361328125,1.15036010742187E-06,-9.00268554687447E-09
0.176239013671875,1.1712900797526E-06,-1.19272867838537E-08
0.1812744140625,1.19222005208333E-06,-1.2105305989583E-08
0.186309814453125,1.21315002441406E-06,-8.31604003906192E-09
0.19134521484375,1.23407999674479E-06,-1.12406412760412E-08
0.196380615234375,1.25500996907552E-06,-7.4513753255201E-09
0.201416015625,1.27593994140625E-06,-1.06811523437492E-08
0.206451416015625,1.30027770996094E-06,-1.36566162109368E-08
0.21148681640625,1.32461547851562E-06,-1.02233886718742E-08
0.216522216796875,1.34895324707031E-06,-1.25885009765617E-08
0.2215576171875,1.373291015625E-06,-1.00708007812491E-08
0.226593017578125,1.3995361328125E-06,-1.61743164062492E-08
0.23162841796875,1.42578125E-06,-1.52587890624992E-08
0.236663818359375,1.45221710205078E-06,-1.11770629882804E-08
0.24169921875,1.47865295410156E-06,-8.92639160156169E-09
0.246734619140625,1.50508880615234E-06,-1.18637084960927E-08
0.25177001953125,1.53152465820312E-06,-1.48010253906239E-08
0.256805419921875,1.56059265136719E-06,-1.42669677734367E-08
0.2618408203125,1.58966064453125E-06,-1.28173828124991E-08
0.266876220703125,1.61872863769531E-06,-8.6212158203118E-09
0.27191162109375,1.64779663085937E-06,-1.29699707031242E-08
0.276947021484375,1.67747497558594E-06,-1.67083740234368E-08
0.281982421875,1.7071533203125E-06,-1.55639648437493E-08
0.287017822265625,1.73698425292969E-06,-1.42669677734372E-08
0.29205322265625,1.76681518554687E-06,-1.44958496093747E-08
0.297088623046875,1.79763793945312E-06,-1.63269042968744E-08
0.3021240234375,1.82846069335937E-06,-1.57165527343746E-08
0.307159423828125,1.8597412109375E-06,-1.55639648437495E-08
0.31219482421875,1.89102172851562E-06,-1.48010253906246E-08
0.317230224609375,1.92230224609375E-06,-1.28173828124997E-08
0.322265625,1.95358276367187E-06,-1.41906738281244E-08
0.327301025390625,1.98486328125E-06,-1.34277343749995E-08
0.33233642578125,2.01614379882812E-06,-1.81579589843741E-08
0.337371826171875,2.04837799072266E-06,-1.40762329101553E-08
0.3424072265625,2.08061218261719E-06,-1.54876708984369E-08
0.347442626953125,2.11284637451172E-06,-1.50680541992184E-08
0.35247802734375,2.14508056640625E-06,-1.64794921874995E-08
0.357513427734375,2.17941284179687E-06,-1.78527832031242E-08
0.362548828125,2.2137451171875E-06,-1.70898437499989E-08
0.367584228515625,2.24807739257812E-06,-1.57165527343742E-08
0.37261962890625,2.28240966796875E-06,-1.6784667968749E-08
0.377655029296875,2.31674194335937E-06,-1.69372558593742E-08
0.3826904296875,2.35107421875E-06,-1.89208984374994E-08
0.387725830078125,2.38582611083984E-06,-1.58309936523429E-08
0.39276123046875,2.42057800292969E-06,-1.45721435546873E-08
0.397796630859375,2.45532989501953E-06,-1.91116333007807E-08
0.40283203125,2.49008178710937E-06,-1.99890136718742E-08
0.407867431640625,2.52483367919922E-06,-1.29318237304679E-08
0.41290283203125,2.55958557128906E-06,-1.16729736328115E-08
0.417938232421875,2.5943374633789E-06,-1.40762329101549E-08
0.4229736328125,2.62908935546875E-06,-1.67846679687486E-08
0.428009033203125,2.66399147649808E-06,-1.81174530605751E-08
0.43304443359375,2.6988935975274E-06,-1.54829529961519E-08
0.438079833984375,2.73378314757849E-06,-1.16151788284861E-08
0.443115234375,2.76867269762957E-06,-1.14095140358206E-08
0.448150634765625,2.80354341630522E-06,-1.24057209927176E-08
0.45318603515625,2.83841413498086E-06,-1.09605216996147E-08
0.458221435546875,2.8732597871949E-06,-8.26955281990171E-09
0.4632568359375,2.90810543940894E-06,-4.05270503393844E-09
0.468292236328125,2.94291982198124E-06,-4.38222432498855E-09
0.47332763671875,2.97773420455354E-06,-7.44458459788929E-10
0.478363037109375,3.01251115295635E-06,-4.39347717509978E-09
0.4833984375,3.04728810135916E-06,1.72312910958982E-09
0.488433837890625,3.08202149663263E-06,5.74705805486955E-09
0.49346923828125,3.1167548919061E-06,9.16063543764952E-09
0.498504638671875,3.15143866775803E-06,6.21514083572369E-09
0.5035400390625,3.18612244360995E-06,1.02886892025481E-08
0.508575439453125,3.22075059371163E-06,1.68592695696188E-08
0.51361083984375,3.25537874381331E-06,1.885221321794E-08
0.518646240234375,3.28994532930009E-06,1.72446121061562E-08
0.523681640625,3.32451191478688E-06,2.54026359943728E-08
0.528717041015625,3.35901107196857E-06,2.53883420939343E-08
0.53375244140625,3.39351022915025E-06,3.51396731934963E-08
0.538787841796875,3.42793617743294E-06,3.70296428795645E-08
0.5438232421875,3.46236212571562E-06,4.16661945968829E-08
0.548858642578125,3.49670917573294E-06,4.11936562983072E-08
0.55389404296875,3.53105622575027E-06,4.80453367497321E-08
0.558929443359375,3.56531878769853E-06,5.4676329488974E-08
0.56396484375,3.59958134964678E-06,6.25280253532154E-08
0.569000244140625,3.63375394181455E-06,6.43661753729532E-08
0.57403564453125,3.66792653398231E-06,6.98664347676922E-08
0.579071044921875,3.70200379146184E-06,7.17999194756638E-08
