"Potential applied (V)","Fitted WE(1).d.Current","Corrected WE(1).d.Current (A)"
0,1.8341064453125e-06,-1.31225585937506e-07
0.005035400390625,1.84305826822916e-06,1.22273763020839e-07
0.01007080078125,1.85201009114583e-06,5.2286783854171e-08
0.015106201171875,1.8609619140625e-06,1.89208984374984e-08
0.0201416015625,1.86991373697917e-06,8.13802083325536e-10
0.025177001953125,1.87886555989583e-06,-7.22249348958406e-09
0.03021240234375,1.8878173828125e-06,-3.96728515625016e-09
0.035247802734375,1.90231323242188e-06,-1.05285644531249e-08
0.040283203125,1.91680908203125e-06,-7.62939453125043e-09
0.045318603515625,1.93305969238281e-06,-8.62121582031308e-09
0.05035400390625,1.94931030273438e-06,-1.14440917968754e-08
0.055389404296875,1.97067260742188e-06,-9.9182128906256e-09
0.0604248046875,1.99203491210938e-06,-1.20544433593756e-08
0.065460205078125,2.01454162597656e-06,-1.04522705078132e-08
0.07049560546875,2.03704833984375e-06,-3.05175781250051e-09
0.075531005859375,2.05955505371094e-06,-1.54876708984386e-08
0.08056640625,2.08206176757813e-06,-1.29699707031261e-08
0.085601806640625,2.10968017578125e-06,-1.46484375000015e-08
0.09063720703125,2.13729858398438e-06,-1.38854980468762e-08
0.095672607421875,2.16542181746789e-06,-1.4237735436637e-08
0.1007080078125,2.1935450509514e-06,-1.03175118888978e-08
0.105743408203125,2.22166704472958e-06,-1.03633337920773e-08
0.11077880859375,2.24978903850776e-06,-9.18845257025677e-09
0.115814208984375,2.27790917802242e-06,-1.01479475536712e-08
0.120849609375,2.30602931753709e-06,-8.05568472458559e-09
0.125885009765625,2.33414699350185e-06,-3.51955209559554e-09
0.13092041015625,2.3622646694666e-06,-2.95070462285522e-09
0.135955810546875,2.39037927915655e-06,-8.52911969048291e-10
0.1409912109375,2.41849388884649e-06,-5.861740027415e-10
0.146026611328125,2.44660483737105e-06,1.21010403520047e-09
0.15106201171875,2.47471578589561e-06,9.10989769814176e-09
0.156097412109375,2.50282248745191e-06,1.18259500480881e-08
0.1611328125,2.53092918900822e-06,1.5762705523034e-08
0.166168212890625,2.5590310681123e-06,1.84835803252023e-08
0.17120361328125,2.58713294721638e-06,2.60872676273699e-08
0.176239013671875,2.61522943990964e-06,3.2475638215359e-08
0.1812744140625,2.6433259326029e-06,4.00847119283476e-08
0.186309814453125,2.67141648763131e-06,4.22065592436913e-08
0.19134521484375,2.69950704265972e-06,5.3178504215285e-08
0.196380615234375,2.72759112262327e-06,5.80534086267323e-08
0.201416015625,2.75567520258682e-06,6.81163013194297e-08
0.206451416015625,2.7837522850569e-06,7.39137305681019e-08
0.21148681640625,2.81182936752698e-06,8.12370387230248e-08
0.216522216796875,2.83989894612923e-06,8.21591593395188e-08
0.2215576171875,2.86796852473149e-06,9.25417291747628e-08
0.226593017578125,2.89603011019207e-06,1.00796061682933e-07
0.23162841796875,2.92409169565265e-06,1.02641702784852e-07
0.236663818359375,2.95214481680557e-06,1.04800983975684e-07
0.24169921875,2.98019793795849e-06,1.10317198760265e-07
0.246734619140625,3.00824214271209e-06,1.11569869006657e-07
0.25177001953125,3.0362863474657e-06,1.106863087843e-07
0.256805419921875,3.06432120372627e-06,1.09201745492478e-07
0.2618408203125,3.09235605998685e-06,1.07412006419405e-07
0.266876220703125,3.12038115653742e-06,1.05937202837581e-07
0.27191162109375,3.14840625308799e-06,1.02936520349508e-07
0.276947021484375,3.17642120042066e-06,9.90304597355938e-08
0.281982421875,3.20443614775332e-06,9.51243991216808e-08
0.287017822265625,3.23244057885331e-06,9.06185031779433e-08
0.29205322265625,3.26044500995329e-06,8.51970798904562e-08
0.297088623046875,3.2884385810333e-06,8.8636614279201e-08
0.3021240234375,3.3164321521133e-06,8.6582984605445e-08
0.307159423828125,3.34441454329658e-06,7.93525465471744e-08
0.31219482421875,3.37239693447985e-06,7.94463272389049e-08
0.317230224609375,3.4003678504307e-06,7.83308800380508e-08
0.322265625,3.42833876638155e-06,7.23326203371969e-08
0.327301025390625,3.45629793688211e-06,7.48910279616379e-08
0.33233642578125,3.48425710738267e-06,6.61579316798289e-08
0.337371826171875,3.51220428785469e-06,6.81179777703148e-08
0.3424072265625,3.5401514683267e-06,6.15331019858005e-08
0.347442626953125,3.56808644029748e-06,6.62519386087656e-08
0.35247802734375,3.59602141226827e-06,6.395173226298e-08
0.357513427734375,3.6239439837799e-06,6.34949810638517e-08
0.362548828125,3.65186655529153e-06,6.02916478334736e-08
0.367584228515625,3.67977656125251e-06,6.65613293724854e-08
0.37261962890625,3.7076865672135e-06,6.64223195052468e-08
0.377655029296875,3.73558386969239e-06,6.99581224951048e-08
0.3826904296875,3.76348117217129e-06,6.55593551724643e-08
0.387725830078125,3.79136566063163e-06,6.97183237433739e-08
0.39276123046875,3.81925014909197e-06,6.92996555955332e-08
0.397796630859375,3.84712174056831e-06,7.37766969316856e-08
0.40283203125,3.87499333204466e-06,7.39812773303371e-08
0.407867431640625,3.9028519712594e-06,7.35884584281039e-08
0.41290283203125,3.93071061047413e-06,7.258528796337e-08
0.417938232421875,3.95855626989493e-06,7.25106246363159e-08
0.4229736328125,3.98640192931574e-06,7.2741137090512e-08
0.428009033203125,4.01423460915379e-06,7.48156838149642e-08
0.43304443359375,4.04206728899183e-06,7.17022422581663e-08
0.438079833984375,4.06988701714082e-06,7.10431586404254e-08
0.443115234375,4.09770674528981e-06,7.4351360178936e-08
0.448150634765625,4.1255135772061e-06,7.46207001376515e-08
0.45318603515625,4.15332040912238e-06,7.21434580651186e-08
0.458221435546875,4.18111442764661e-06,7.24256114158951e-08
0.4632568359375,4.20890844617083e-06,7.3012940547921e-08
0.468292236328125,4.23668976129158e-06,7.39181488646678e-08
0.47332763671875,4.26447107641233e-06,7.29923024939144e-08
0.478363037109375,4.29223982497246e-06,6.99427922150373e-08
0.4833984375,4.32000857353259e-06,7.0860567092409e-08
0.488433837890625,4.34776491887891e-06,7.24010967460854e-08
0.49346923828125,4.37552126422524e-06,7.0889868587262e-08
0.498504638671875,4.40326539580256e-06,7.12219088849357e-08
0.5035400390625,4.43100952737989e-06,7.43005312138604e-08
0.508575439453125,4.4587416602703e-06,7.2203163948447e-08
0.51361083984375,4.48647379316072e-06,6.98006209017833e-08
0.518646240234375,4.51419416756927e-06,6.89357152432293e-08
0.523681640625,4.54191454197783e-06,7.17329189596738e-08
0.528717041015625,4.56962342266583e-06,6.66070460841687e-08
