Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
0.651550293,-1.65604E-06,6.56128E-09
0.656585693,-1.66527E-06,2.67029E-09
0.661621094,-1.6745E-06,1.64795E-08
0.666656494,-1.68137E-06,-9.61304E-09
0.671691895,-1.68823E-06,2.50244E-08
0.676727295,-1.6951E-06,1.41907E-08
0.681762695,-1.70197E-06,2.86865E-08
0.686798096,-1.70883E-06,-2.89917E-09
0.691833496,-1.7157E-06,2.13623E-09
0.696868896,-1.71974E-06,1.90735E-09
0.701904297,-1.72379E-06,-1.05286E-08
0.706939697,-1.72783E-06,1.85394E-08
0.711975098,-1.73187E-06,-2.74658E-09
0.717010498,-1.72897E-06,-1.52588E-10
0.722045898,-1.72607E-06,-6.71387E-09
0.727081299,-1.72318E-06,6.56128E-09
0.732116699,-1.72028E-06,7.93457E-09
0.7371521,-1.71265E-06,-1.5564E-08
0.7421875,-1.70502E-06,-1.15967E-08
0.7472229,-1.68922E-06,-4.20077E-09
0.752258301,-1.67342E-06,-4.66978E-10
0.757293701,-1.65763E-06,1.44541E-09
0.762329102,-1.64185E-06,1.28182E-08
0.767364502,-1.62607E-06,1.74916E-08
0.772399902,-1.6103E-06,3.98651E-08
0.777435303,-1.59455E-06,8.94183E-08
0.782470703,-1.57879E-06,1.31037E-07
0.787506104,-1.56306E-06,1.71458E-07
0.792541504,-1.54733E-06,2.37514E-07
0.797576904,-1.53163E-06,3.2435E-07
0.802612305,-1.51592E-06,4.21257E-07
0.807647705,-1.50025E-06,5.50545E-07
0.812683105,-1.48458E-06,6.94481E-07
0.817718506,-1.46895E-06,8.61341E-07
0.822753906,-1.45331E-06,1.0224E-06
0.827789307,-1.43772E-06,1.1951E-06
0.832824707,-1.42212E-06,1.43372E-06
0.837860107,-1.40657E-06,1.65529E-06
0.842895508,-1.39102E-06,1.96383E-06
0.847930908,-1.37551E-06,2.26754E-06
0.852966309,-1.36001E-06,2.61001E-06
0.858001709,-1.34455E-06,3.0041E-06
0.863037109,-1.3291E-06,3.36279E-06
0.86807251,-1.3137E-06,3.80149E-06
0.87310791,-1.2983E-06,4.23134E-06
0.878143311,-1.28295E-06,4.67894E-06
0.883178711,-1.2676E-06,5.15676E-06
0.888214111,-1.25231E-06,5.62701E-06
0.893249512,-1.23702E-06,6.13204E-06
0.898284912,-1.22179E-06,6.62646E-06
0.903320313,-1.20656E-06,7.09035E-06
0.908355713,-1.1914E-06,7.57262E-06
0.913391113,-1.17623E-06,8.03658E-06
0.918426514,-1.16112E-06,8.5006E-06
0.923461914,-1.14602E-06,8.93715E-06
0.928497314,-1.13097E-06,9.33715E-06
0.933532715,-1.11593E-06,9.75851E-06
0.938568115,-1.10095E-06,1.01433E-05
0.943603516,-1.08597E-06,1.04976E-05
0.948638916,-1.07106E-06,1.08092E-05
0.953674316,-1.05615E-06,1.10995E-05
0.958709717,-1.0413E-06,1.1341E-05
0.963745117,-1.02645E-06,1.15764E-05
0.968780518,-1.01166E-06,1.17752E-05
0.973815918,-9.96875E-07,1.19527E-05
0.978851318,-9.82153E-07,1.20844E-05
0.983886719,-9.67431E-07,1.21613E-05
