"Potential applied (V)","Fitted WE(1).d.Current","Corrected WE(1).d.Current (A)"
0,1.88751220703125e-06,1.23596191406255e-07
0.005035400390625,1.73568725585938e-06,2.82287597656166e-08
0.01007080078125,1.5838623046875e-06,3.35693359374971e-08
0.015106201171875,1.54647827148438e-06,3.81469726563051e-09
0.0201416015625,1.50909423828125e-06,7.62939453124704e-09
0.025177001953125,1.51008605957031e-06,-8.62121582031159e-09
0.03021240234375,1.51107788085938e-06,-1.3732910156251e-09
0.035247802734375,1.52503967285156e-06,-1.25885009765617e-08
0.040283203125,1.53900146484375e-06,-1.28173828125003e-08
0.045318603515625,1.55570983886719e-06,-3.89099121093779e-09
0.05035400390625,1.57241821289063e-06,-1.48010253906254e-08
0.055389404296875,1.60041809082031e-06,-1.3198852539063e-08
0.0604248046875,1.62841796875e-06,-1.40380859375005e-08
0.065460205078125,1.65962219238281e-06,-1.71661376953127e-08
0.07049560546875,1.69082641601563e-06,-9.30786132812499e-09
0.075531005859375,1.72393798828125e-06,-2.38037109375005e-08
0.08056640625,1.75704956054688e-06,-1.41906738281256e-08
0.085601806640625,1.79027563352916e-06,-1.9035399154155e-08
0.09063720703125,1.82350170651143e-06,-1.13679174489349e-08
0.095672607421875,1.85671885782845e-06,-8.26915079720168e-09
0.1007080078125,1.88993600914547e-06,6.73147132328134e-09
0.105743408203125,1.92313979607541e-06,1.38108875183384e-08
0.11077880859375,1.95634358300535e-06,2.18058310571451e-08
0.115814208984375,1.98952958085804e-06,3.13444425794629e-08
0.120849609375,2.02271557871072e-06,3.96623509767804e-08
0.125885009765625,2.05587938523666e-06,5.47163178883397e-08
0.13092041015625,2.0890431917626e-06,6.36667691748987e-08
0.135955810546875,2.12218043150305e-06,7.50851934969457e-08
0.1409912109375,2.15531767124351e-06,8.61984420377423e-08
0.146026611328125,2.18842399981181e-06,9.30701408131937e-08
0.15106201171875,2.2215303283801e-06,1.09402288807395e-07
0.156097412109375,2.25460143666476e-06,1.22412723491486e-07
0.1611328125,2.28767254494942e-06,1.32066224581827e-07
0.166168212890625,2.32070416322956e-06,1.4053851255169e-07
0.17120361328125,2.3537357815097e-06,1.53588437240303e-07
0.176239013671875,2.38672368347344e-06,1.66071726682807e-07
0.1812744140625,2.41971158543719e-06,1.76418785656561e-07
0.186309814453125,2.45265159209388e-06,1.85287861031121e-07
0.19134521484375,2.48559159875057e-06,1.97208694218181e-07
0.196380615234375,2.51847958222766e-06,2.03993562303593e-07
0.201416015625,2.55136756570474e-06,2.10168078826505e-07
0.206451416015625,2.58419945292054e-06,2.18534922079456e-07
0.21148681640625,2.61703134013634e-06,2.26291413769906e-07
0.216522216796875,2.64980311633985e-06,2.30140731316404e-07
0.2215576171875,2.68257489254335e-06,2.36431455112902e-07
0.226593017578125,2.71528260471259e-06,2.4461729763116e-07
0.23162841796875,2.74799031688183e-06,2.50056558118168e-07
0.236663818359375,2.78063007697245e-06,2.51901661308798e-07
0.24169921875,2.81326983706307e-06,2.58934752780679e-07
0.246734619140625,2.84583782509894e-06,2.66649967869814e-07
0.25177001953125,2.8784058131348e-06,2.72839304052699e-07
0.256805419921875,2.91089828013281e-06,2.79714512835937e-07
0.2618408203125,2.94339074713083e-06,2.84453491150425e-07
0.266876220703125,2.97580401785226e-06,2.88661314178991e-07
0.27191162109375,3.00821728857369e-06,2.94700191895057e-07
0.276947021484375,3.04054776409471e-06,3.02347743717793e-07
0.281982421875,3.07287823961572e-06,3.0846941663428e-07
0.287017822265625,3.10512239970994e-06,3.14982580758807e-07
0.29205322265625,3.13736655980416e-06,3.20580217539585e-07
0.297088623046875,3.1695209651306e-06,3.2870901533815e-07
0.3021240234375,3.20167537045704e-06,3.35922285792963e-07
0.307159423828125,3.23373666454683e-06,3.38345854984424e-07
0.31219482421875,3.26579795863661e-06,3.45652236675886e-07
0.317230224609375,3.29776286967255e-06,3.49087716264951e-07
0.322265625,3.32972778070848e-06,3.50692141166517e-07
0.327301025390625,3.36159312309154e-06,3.63992814408461e-07
0.33233642578125,3.39345846547459e-06,3.58677764994156e-07
0.337371826171875,3.42522114117213e-06,3.6384135882787e-07
0.3424072265625,3.45698381686966e-06,3.65037667505335e-07
0.347442626953125,3.48864081654033e-06,3.7457939830342e-07
0.35247802734375,3.52029781621099e-06,3.77407261914006e-07
0.357513427734375,3.55184622010184e-06,3.81869600210662e-07
0.362548828125,3.58339462399268e-06,3.83280180694816e-07
0.367584228515625,3.61483160260439e-06,3.89990174739361e-07
0.37261962890625,3.64626858121609e-06,3.97920871908905e-07
0.377655029296875,3.67759139573272e-06,4.0291397536103e-07
0.3826904296875,3.70891421024934e-06,4.05770848344406e-07
0.387725830078125,3.74012021272948e-06,4.10270412270519e-07
0.39276123046875,3.77132621520962e-06,4.1538032775913e-07
0.397796630859375,3.80241284853635e-06,4.18778557713646e-07
0.40283203125,3.83349948186309e-06,4.26449248605661e-07
0.407867431640625,3.86446427945069e-06,4.27833083830556e-07
0.41290283203125,3.8954290770383e-06,4.27996215930452e-07
0.417938232421875,3.92626966229414e-06,4.33471548643358e-07
0.4229736328125,3.95711024754999e-06,4.32233014168764e-07
0.428009033203125,3.98782433309073e-06,4.3752967081552e-07
0.43304443359375,4.01853841863147e-06,4.38248690743527e-07
0.438079833984375,4.04912380525319e-06,4.38180882246808e-07
0.443115234375,4.07970919187491e-06,4.43911413593839e-07
0.448150634765625,4.11016376727742e-06,4.5160381084758e-07
0.45318603515625,4.14061834267993e-06,4.50140934663822e-07
0.458221435546875,4.1709400799462e-06,4.53388533335046e-07
0.4632568359375,4.20126181721248e-06,4.5327919841252e-07
0.468292236328125,4.23144877304476e-06,4.56356402736494e-07
0.47332763671875,4.26163572887703e-06,4.59433607060468e-07
0.478363037109375,4.29168604159177e-06,4.55323235751977e-07
0.4833984375,4.32173635430651e-06,4.61588841005987e-07
0.488433837890625,4.35164824159119e-06,4.55785840440061e-07
0.49346923828125,4.38156012887587e-06,4.63715750030384e-07
0.498504638671875,4.41133188531116e-06,4.62020165470087e-07
0.5035400390625,4.44110364174646e-06,4.65817744972289e-07
0.508575439453125,4.47073363609825e-06,4.66094977183002e-07
0.51361083984375,4.50036363045004e-06,4.63015275799964e-07
0.518646240234375,4.52985030273618e-06,4.65877236326325e-07
0.523681640625,4.55933697502232e-06,4.70570251540183e-07
0.528717041015625,4.58867883336014e-06,4.65032104139856e-07
0.53375244140625,4.61802069169797e-06,4.65902648145779e-07
0.538787841796875,4.647216308939e-06,4.62646972311003e-07
0.5438232421875,4.67641192618002e-06,4.70987976163725e-07
0.548858642578125,4.70545993633925e-06,4.66964380067001e-07
