Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0.709991455,3.87388E-06,2.97426E-06
0.715026855,3.9035E-06,3.05756E-06
0.720062256,3.93284E-06,3.12893E-06
0.725097656,3.96219E-06,3.20334E-06
0.730133057,3.99126E-06,3.26888E-06
0.735168457,4.02032E-06,3.33746E-06
0.740203857,4.04911E-06,3.38802E-06
0.745239258,4.0779E-06,3.42637E-06
0.750274658,4.1064E-06,3.46806E-06
0.755310059,4.13491E-06,3.50364E-06
0.760345459,4.16312E-06,3.52731E-06
0.765380859,4.19133E-06,3.54182E-06
0.77041626,4.21925E-06,3.55052E-06
0.77545166,4.24717E-06,3.55312E-06
0.780487061,4.27479E-06,3.54991E-06
0.785522461,4.30242E-06,3.5345E-06
0.790557861,4.32974E-06,3.51023E-06
0.795593262,4.35706E-06,3.48901E-06
0.800628662,4.38408E-06,3.44673E-06
0.805664063,4.4111E-06,3.40445E-06
0.810699463,4.43781E-06,3.35027E-06
0.815734863,4.46453E-06,3.3022E-06
0.820770264,4.49093E-06,3.23917E-06
0.825805664,4.51734E-06,3.16393E-06
0.830841064,4.54344E-06,3.08596E-06
0.835876465,4.56953E-06,3.01103E-06
0.840911865,4.59532E-06,2.91811E-06
0.845947266,4.6211E-06,2.82213E-06
0.850982666,4.64657E-06,2.72647E-06
0.856018066,4.67205E-06,2.63081E-06
0.861053467,4.6972E-06,2.52936E-06
0.866088867,4.72236E-06,2.42485E-06
0.871124268,4.74721E-06,2.33287E-06
0.876159668,4.77205E-06,2.22868E-06
0.881195068,4.79658E-06,2.13091E-06
0.886230469,4.8211E-06,2.03314E-06
0.891265869,4.84531E-06,1.93874E-06
0.89630127,4.86953E-06,1.83519E-06
0.90133667,4.89342E-06,1.735E-06
0.90637207,4.91732E-06,1.64396E-06
0.911407471,4.9409E-06,1.55325E-06
0.916442871,4.96447E-06,1.46253E-06
0.921478271,4.98774E-06,1.38433E-06
0.926513672,5.011E-06,1.30309E-06
0.931549072,5.03395E-06,1.21911E-06
0.936584473,5.05689E-06,1.14733E-06
