Potential applied (V),Fitted WE(1).δ.Curren,Corrected WE(1).δ.Current (A
0.715026855,3.34458E-06,4.33547E-06
0.720062256,3.37088E-06,4.67356E-06
0.725097656,3.39717E-06,5.03087E-06
0.730133057,3.42337E-06,5.36874E-06
0.735168457,3.44957E-06,5.7057E-06
0.740203857,3.47567E-06,6.0153E-06
0.745239258,3.50177E-06,6.30658E-06
0.750274658,3.52777E-06,6.59186E-06
0.755310059,3.55377E-06,6.85273E-06
0.760345459,3.57966E-06,7.08929E-06
0.765380859,3.60555E-06,7.28617E-06
0.77041626,3.63134E-06,7.4618E-06
0.77545166,3.65712E-06,7.60081E-06
0.780487061,3.6828E-06,7.71247E-06
0.785522461,3.70847E-06,7.78445E-06
0.790557861,3.73403E-06,7.79246E-06
0.795593262,3.75959E-06,7.79436E-06
0.800628662,3.78504E-06,7.72314E-06
0.805664063,3.81049E-06,7.61835E-06
0.810699463,3.83582E-06,7.44653E-06
0.815734863,3.86114E-06,7.25031E-06
0.820770264,3.88635E-06,6.99011E-06
0.825805664,3.91156E-06,6.6933E-06
0.830841064,3.93665E-06,6.34777E-06
0.835876465,3.96174E-06,5.97173E-06
0.840911865,3.9867E-06,5.5592E-06
0.845947266,4.01166E-06,5.15887E-06
0.850982666,4.0365E-06,4.74951E-06
0.856018066,4.06134E-06,4.3432E-06
0.861053467,4.08605E-06,3.94923E-06
0.866088867,4.11076E-06,3.57967E-06
0.871124268,4.13534E-06,3.23771E-06
0.876159668,4.15992E-06,2.9049E-06
0.881195068,4.18437E-06,2.61494E-06
0.886230469,4.20882E-06,2.34635E-06
0.891265869,4.23314E-06,2.09315E-06
0.89630127,4.25746E-06,1.86132E-06
0.90133667,4.28164E-06,1.66013E-06
0.90637207,4.30582E-06,1.47726E-06
0.911407471,4.32987E-06,1.30978E-06
0.916442871,4.35392E-06,1.16061E-06
0.921478271,4.37783E-06,1.02988E-06
0.926513672,4.40174E-06,9.14422E-07
0.931549072,4.42551E-06,8.05201E-07
0.936584473,4.44928E-06,7.08188E-07
0.941619873,4.47291E-06,6.23522E-07
0.946655273,4.49654E-06,5.57166E-07
0.951690674,4.52003E-06,4.87901E-07
0.956726074,4.54352E-06,4.21688E-07
0.961761475,4.56687E-06,3.64774E-07
0.966796875,4.59021E-06,3.13964E-07
0.971832275,4.61341E-06,2.84661E-07
0.976867676,4.63661E-06,2.52307E-07
0.981903076,4.65966E-06,2.17048E-07
0.986938477,4.68271E-06,1.87893E-07
0.991973877,4.70562E-06,1.71094E-07
0.997009277,4.72852E-06,1.48191E-07
1.002044678,4.75127E-06,1.34594E-07
1.007080078,4.77402E-06,1.08791E-07
1.012115479,4.79662E-06,9.53467E-08
1.017150879,4.81922E-06,8.19028E-08
1.022186279,4.84166E-06,7.47171E-08
1.02722168,4.86411E-06,6.75313E-08
1.03225708,4.8864E-06,6.05021E-08
1.03729248,4.90869E-06,5.95764E-08
1.042327881,4.93081E-06,5.88093E-08
1.047363281,4.95294E-06,5.80422E-08
1.052398682,4.97491E-06,4.82804E-08
1.057434082,4.99688E-06,5.37775E-08
1.062469482,5.01869E-06,5.63854E-08
1.067504883,5.04049E-06,5.89934E-08
1.072540283,5.06214E-06,6.4818E-08
1.077575684,5.08378E-06,7.06426E-08
1.082611084,5.10525E-06,7.66342E-08
1.087646484,5.12672E-06,9.48329E-08
1.092681885,5.14803E-06,1.00994E-07
1.097717285,5.16933E-06,1.13258E-07
1.102752686,5.19047E-06,1.34849E-07
1.107788086,5.2116E-06,1.53389E-07
1.112823486,5.23256E-06,1.56843E-07
1.117858887,5.25352E-06,1.84711E-07
1.122894287,5.27431E-06,2.036E-07
1.127929688,5.29509E-06,2.34696E-07
1.132965088,5.31569E-06,2.56815E-07
1.138000488,5.3363E-06,2.91141E-07
1.143035889,5.35673E-06,3.28699E-07
1.148071289,5.37715E-06,3.75412E-07
1.153106689,5.39739E-06,4.10101E-07
1.15814209,5.41764E-06,4.72256E-07
1.16317749,5.4377E-06,5.2544E-07
1.168212891,5.45775E-06,5.99986E-07
