Potential applied (V),Time (s),WE(1).Current (A),WE(1).Potential (V),Scan,Index,Q+,Q-,Current range
0.30914306640625,68.9710308258649,9.2498779296875E-07,0.30908203125,1,1,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.311126708984375,68.9730148258599,1.6656494140625E-06,0.31146240234375,1,2,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.3131103515625,68.9749988258549,2.11090087890625E-06,0.313720703125,1,3,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.315093994140625,68.9769828258499,2.4822998046875E-06,0.31585693359375,1,4,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.31707763671875,68.9789668258449,2.694091796875E-06,0.318023681640625,1,5,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.319061279296875,68.9809508258398,2.71026611328125E-06,0.319976806640625,1,6,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.321044921875,68.9829348258348,2.81707763671875E-06,0.322052001953125,1,7,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.323028564453125,68.9849188258298,2.85797119140625E-06,0.32391357421875,1,8,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.32501220703125,68.9869028258248,2.80548095703125E-06,0.32586669921875,1,9,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.326995849609375,68.9888868258198,2.79083251953125E-06,0.3277587890625,1,10,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.3289794921875,68.9908708258148,2.8948974609375E-06,0.329986572265625,1,11,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.330963134765625,68.9928548258098,2.88330078125E-06,0.331939697265625,1,12,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.33294677734375,68.9948388258048,2.9119873046875E-06,0.334014892578125,1,13,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.334930419921875,68.9968228257998,3.03070068359375E-06,0.335845947265625,1,14,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.3369140625,68.9988068257948,3.10943603515625E-06,0.337982177734375,1,15,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.338897705078125,69.0007908257897,3.0694580078125E-06,0.339935302734375,1,16,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.34088134765625,69.0027748257847,3.13934326171875E-06,0.341949462890625,1,17,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.342864990234375,69.0047588257797,3.1134033203125E-06,0.34375,1,18,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.3448486328125,69.0067428257747,3.07342529296875E-06,0.345733642578125,1,19,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.346832275390625,69.0087268257697,3.04534912109375E-06,0.34771728515625,1,20,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.34881591796875,69.0107108257647,3.10150146484375E-06,0.349700927734375,1,21,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.350799560546875,69.0126948257597,3.082275390625E-06,0.35186767578125,1,22,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.352783203125,69.0146788257547,3.11187744140625E-06,0.35369873046875,1,23,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.354766845703125,69.0166628257497,3.20770263671875E-06,0.355743408203125,1,24,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.35675048828125,69.0186468257447,3.26263427734375E-06,0.357940673828125,1,25,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.358734130859375,69.0206308257397,3.2598876953125E-06,0.359649658203125,1,26,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.3607177734375,69.0226148257346,3.3221435546875E-06,0.361663818359375,1,27,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.362701416015625,69.0245988257296,3.2537841796875E-06,0.363555908203125,1,28,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.36468505859375,69.0265828257246,3.2452392578125E-06,0.365631103515625,1,29,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.366668701171875,69.0285668257196,3.248291015625E-06,0.36767578125,1,30,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.36865234375,69.0305508257146,3.2598876953125E-06,0.36956787109375,1,31,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.370635986328125,69.0325348257096,3.233642578125E-06,0.37158203125,1,32,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.37261962890625,69.0345188257046,3.32763671875E-06,0.37353515625,1,33,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.374603271484375,69.0365028256996,3.36181640625E-06,0.3756103515625,1,34,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.3765869140625,69.0384868256946,3.394775390625E-06,0.377593994140625,1,35,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.378570556640625,69.0404708256896,3.43170166015625E-06,0.37957763671875,1,36,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.38055419921875,69.0424548256846,3.48175048828125E-06,0.381591796875,1,37,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.382537841796875,69.0444388256795,3.39630126953125E-06,0.383453369140625,1,38,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.384521484375,69.0464228256745,3.42498779296875E-06,0.385498046875,1,39,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.386505126953125,69.0484068256695,3.406982421875E-06,0.387298583984375,1,40,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.38848876953125,69.0503908256645,3.3941650390625E-06,0.38946533203125,1,41,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.390472412109375,69.0523748256595,3.38897705078125E-06,0.391387939453125,1,42,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.3924560546875,69.0543588256545,3.4637451171875E-06,0.39349365234375,1,43,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.394439697265625,69.0563428256495,3.492431640625E-06,0.3955078125,1,44,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.39642333984375,69.0583268256445,3.54644775390625E-06,0.3974609375,1,45,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.398406982421875,69.0603108256395,3.597412109375E-06,0.399505615234375,1,46,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.400390625,69.0622948256345,3.59344482421875E-06,0.4014892578125,1,47,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.402374267578125,69.0642788256295,3.55712890625E-06,0.40350341796875,1,48,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.40435791015625,69.0662628256244,3.6041259765625E-06,0.4053955078125,1,49,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.406341552734375,69.0682468256194,3.5791015625E-06,0.4073486328125,1,50,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.4083251953125,69.0702308256144,3.53729248046875E-06,0.409332275390625,1,51,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.410308837890625,69.0722148256094,3.55712890625E-06,0.411285400390625,1,52,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.41229248046875,69.0741988256044,3.6065673828125E-06,0.413330078125,1,53,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.414276123046875,69.0761828255994,3.624267578125E-06,0.415374755859375,1,54,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.416259765625,69.0781668255944,3.68804931640625E-06,0.417205810546875,1,55,3.65861185314134E-05,-1.04197317082435E-05,1 µA
0.418243408203125,69.0801508255894,3.75213623046875E-06,0.419342041015625,1,56,3.65861185314134E-05,-1.04197317082435E-05,1 µA
