Potential applied (V),Fitted Smoothed WE(1).δ.Current,Corrected Smoothed WE(1).δ.Current (A)
0,4.52688638266031E-07,8.25843976173563E-08
0.005035400390625,2.9846224433932E-07,7.16419963093548E-08
0.01007080078125,1.44235850412609E-07,6.49984780844158E-08
0.015106201171875,8.34186768635009E-08,-4.18130453530765E-09
0.0201416015625,2.26015033143928E-08,-1.18490111776236E-08
0.025177001953125,1.29285943571211E-08,2.15219201348954E-08
0.03021240234375,3.25568539984944E-09,1.57220206506104E-08
0.035247802734375,-6.41722355742225E-09,1.28576215383485E-08
0.040283203125,-1.60901325146939E-08,1.13486784934546E-08
0.045318603515625,-2.57630414719656E-08,1.0897942378351E-08
0.05035400390625,-3.54359504292373E-08,1.11381453697138E-08
0.055389404296875,-4.5108859386509E-08,1.06266383198154E-08
0.0604248046875,-5.47817683437807E-08,9.74654233931638E-09
0.065460205078125,-6.44546773010523E-08,1.00699750892016E-08
0.07049560546875,-7.4127586258324E-08,1.05532618197418E-08
0.075531005859375,-8.38004952155957E-08,1.35572212369701E-08
0.08056640625,-9.34734041728674E-08,1.88637385292662E-08
0.085601806640625,-1.03146313130139E-07,1.99209142614297E-08
0.09063720703125,-1.12819222087411E-07,1.74516583360579E-08
0.095672607421875,-1.22492131044682E-07,1.33352458563031E-08
0.1007080078125,-1.32165040001954E-07,7.91741059685405E-09
0.105743408203125,-1.41837948959226E-07,4.3773972225511E-09
0.11077880859375,-1.51510857916498E-07,3.29068006375136E-09
0.115814208984375,-1.55779950030438E-07,9.78412050189412E-10
0.120849609375,-1.60049042144379E-07,3.22396414620533E-09
0.125885009765625,-1.6431813425832E-07,2.74050493777057E-09
0.13092041015625,-1.68587226372261E-07,2.21173174969565E-09
0.135955810546875,-1.72017976835177E-07,1.21901871322039E-09
0.1409912109375,-1.75448727298093E-07,1.20590672348485E-09
0.146026611328125,-1.76890814975227E-07,2.36180953649217E-10
0.15106201171875,-1.78332902652361E-07,1.78415537912601E-10
0.156097412109375,-1.78244520575453E-07,-2.66797614820099E-10
0.1611328125,-1.78156138498546E-07,-1.35083219189685E-10
0.166168212890625,-1.77963157752892E-07,-5.78975264644443E-11
0.17120361328125,-1.77770177007238E-07,-7.95306581439387E-11
0.176239013671875,-1.76693276409463E-07,-9.97369939630702E-10
0.1812744140625,-1.75616375811688E-07,-7.19342912946475E-10
0.186309814453125,-1.73521562056108E-07,-1.37547084263394E-09
0.19134521484375,-1.71426748300528E-07,-1.50606229707799E-09
0.196380615234375,-1.67907219428521E-07,-2.01346657492904E-09
0.201416015625,-1.64387690556514E-07,-1.88304025889483E-09
0.206451416015625,-1.60007361209754E-07,-2.49728908786531E-09
0.21148681640625,-1.55627031862994E-07,-2.52721216771515E-09
0.216522216796875,-1.49773667901109E-07,-3.32615179416941E-09
0.2215576171875,-1.43920303939225E-07,-3.07375424868104E-09
0.226593017578125,-1.37023133116883E-07,-3.82341657366073E-09
0.23162841796875,-1.30125962294541E-07,-3.84924422094837E-09
0.236663818359375,-1.218150085185E-07,-4.46170955509339E-09
0.24169921875,-1.13504054742458E-07,-4.37147792799653E-09
0.246734619140625,-1.04975634698369E-07,-4.15694211609299E-09
0.25177001953125,-9.64472146542792E-08,-3.33720706007419E-09
0.256805419921875,-8.79187946101897E-08,-2.08467725973723E-09
0.2618408203125,-7.93903745661003E-08,-6.9197797718975E-10
0.266876220703125,-7.08619545220108E-08,3.19713966342551E-10
0.27191162109375,-6.23335344779214E-08,1.22267878088405E-09
0.276947021484375,-5.3805114433832E-08,2.47150948084224E-09
0.281982421875,-4.52766943897425E-08,3.37685228848441E-09
0.287017822265625,-3.67482743456531E-08,4.5254109460319E-09
0.29205322265625,-2.82198543015637E-08,5.1496221248862E-09
0.297088623046875,-1.96914342574742E-08,5.83090513815608E-09
0.3021240234375,-1.11630142133848E-08,5.79905444268678E-09
0.307159423828125,-2.63459416929538E-09,5.09515647482841E-09
0.31219482421875,5.89382587479406E-09,4.23602840178876E-09
0.317230224609375,1.44222459188835E-08,3.3500818510029E-09
0.322265625,2.29506659629729E-08,2.43203239335826E-09
0.327301025390625,3.14790860070624E-08,1.8713424544501E-09
0.33233642578125,4.00075060511518E-08,5.32520328718341E-10
0.337371826171875,4.85359260952412E-08,-8.43028579345653E-10
0.3424072265625,5.70643461393306E-08,-2.27234655362987E-09
0.347442626953125,6.55927661834201E-08,-3.37085926546823E-09
0.35247802734375,7.41211862275095E-08,-4.1064638080019E-09
0.357513427734375,8.27023295613079E-08,-4.47467952579651E-09
0.362548828125,9.12834728951063E-08,-4.3793186996923E-09
0.367584228515625,9.98646162289047E-08,-4.0809036849382E-09
0.37261962890625,1.08445759562703E-07,-3.94247476156668E-09
0.377655029296875,1.17026902896501E-07,-3.89057836491322E-09
0.3826904296875,1.256080462303E-07,-3.4825114460736E-09
0.387725830078125,1.34189189564098E-07,-3.27419594768857E-09
0.39276123046875,1.42770332897897E-07,-3.38122875659516E-09
0.397796630859375,1.51351476231695E-07,-3.14147090499038E-09
0.40283203125,1.59932619565493E-07,-3.15259132550412E-09
0.407867431640625,1.68513762899292E-07,-3.00161188299032E-09
0.41290283203125,1.7709490623309E-07,-2.75855126319017E-09
0.417938232421875,1.85676049566888E-07,-2.02786994702916E-09
0.4229736328125,1.94257192900687E-07,-4.28428484764155E-10
0.428009033203125,2.02838336234485E-07,9.03224532222151E-10
0.43304443359375,2.11419479568283E-07,2.18295803317764E-09
0.438079833984375,2.20000622902082E-07,3.62320606842696E-09
0.443115234375,2.2858176623588E-07,4.90967721650088E-09
0.448150634765625,2.37162909569678E-07,6.49273694851694E-09
0.45318603515625,2.45744052903477E-07,7.99256692201029E-09
0.458221435546875,2.695711474398E-07,-3.18196614583334E-08
0.4632568359375,2.93398241976123E-07,-2.9193960743033E-08
0.468292236328125,3.32634696834167E-07,-1.00424941150113E-08
0.47332763671875,3.71871151692212E-07,3.05295380314762E-08
0.478363037109375,4.11107606550256E-07,8.11976041082263E-08
0.4833984375,4.503440614083E-07,1.3017703086206E-07
0.488433837890625,4.89580516266345E-07,1.64626919770925E-07
0.49346923828125,5.28816971124389E-07,1.70665868220511E-07
0.498504638671875,5.68053425982433E-07,1.34923610002415E-07
0.5035400390625,6.07289880840478E-07,1.23899401069019E-07
0.508575439453125,6.46526335698522E-07,1.13052220510894E-07
0.51361083984375,6.85762790556566E-07,1.02843134768109E-07
0.518646240234375,7.2499924541461E-07,9.34002912466453E-08
0.523681640625,7.64235700272655E-07,8.46880200499916E-08
0.528717041015625,8.03472155130699E-07,7.59717855315039E-08
0.53375244140625,8.42708609988743E-07,6.71379724652615E-08
0.538787841796875,8.81945064846787E-07,5.8704454904295E-08
0.5438232421875,9.21181519704832E-07,5.11640058633506E-08
0.548858642578125,9.60417974562876E-07,4.41982384883961E-08
0.55389404296875,9.9965442942092E-07,3.79379423999676E-08
0.558929443359375,1.03889088427896E-06,3.17952248592938E-08
0.56396484375,1.07812733913701E-06,2.65125481566878E-08
0.569000244140625,1.11736379399505E-06,2.05428956694505E-08
0.57403564453125,1.1566002488531E-06,1.40170570181163E-08
0.579071044921875,1.19583670371114E-06,7.7461920714629E-09
0.5841064453125,1.23507315856918E-06,2.16098180216368E-09
0.589141845703125,1.27430961342723E-06,-2.83897794292008E-09
0.59417724609375,1.31354606828527E-06,-6.70806985791755E-09
0.599212646484375,1.35278252314332E-06,-9.71976314940274E-09
0.604248046875,1.39201897800136E-06,-1.17300571240591E-08
0.609283447265625,1.4312554328594E-06,-1.39755081942241E-08
0.61431884765625,1.47049188771745E-06,-1.57044063186371E-08
0.619354248046875,1.50972834257549E-06,-1.72073950984882E-08
0.6243896484375,1.54896479743353E-06,-1.87804025640805E-08
0.629425048828125,1.58820125229158E-06,-1.96254799194189E-08
0.63446044921875,1.62743770714962E-06,-1.97082783752709E-08
0.639495849609375,1.66754388189935E-06,-2.03978963744593E-08
0.64453125,1.70765005664908E-06,-2.03278776887177E-08
0.649566650390625,1.74867605234121E-06,-2.06981180034165E-08
0.65460205078125,1.78970204803335E-06,-2.03853458553171E-08
0.659637451171875,1.83168155290348E-06,-2.1594159014814E-08
0.6646728515625,1.87366105777361E-06,-2.09679541649759E-08
0.669708251953125,1.91576705866562E-06,-2.11380467270366E-08
0.67474365234375,1.95787305955763E-06,-2.09236970711584E-08
0.679779052734375,2.0005177419423E-06,-2.17209853135148E-08
0.684814453125,2.04316242432698E-06,-2.1585571817506E-08
0.689849853515625,2.0875004359654E-06,-2.2752439820921E-08
0.69488525390625,2.13183844760383E-06,-2.30671936299381E-08
0.699920654296875,2.17660449800037E-06,-2.16988567666057E-08
0.7049560546875,2.22137054839692E-06,-2.24535392992427E-08
0.709991455078125,2.26759444067489E-06,-2.37703529787276E-08
0.71502685546875,2.31381833295286E-06,-2.38506102458743E-08
0.720062255859375,2.36257247594528E-06,-2.49035327465512E-08
0.72509765625,2.4113266189377E-06,-2.45983569653013E-08
0.730133056640625,2.46131150547044E-06,-2.53865295674392E-08
0.73516845703125,2.51129639200318E-06,-2.46607132288298E-08
0.740203857421875,2.56128127853592E-06,-2.30154062246363E-08
0.7452392578125,2.61126616506866E-06,-2.48234736454964E-08
0.750274658203125,2.66125105160139E-06,-2.3958941042683E-08
0.75531005859375,2.71123593813413E-06,-2.3835549622904E-08
0.760345458984375,2.76122082466687E-06,-2.111882461614E-08
0.765380859375,2.81120571119961E-06,-2.36838865073737E-08
0.770416259765625,2.86119059773235E-06,-2.42329386921678E-08
0.77545166015625,2.91117548426508E-06,-2.49127804974973E-08
0.780487060546875,2.96262237416717E-06,-2.6534109404593E-08
0.7855224609375,3.01406926406926E-06,-2.67603490259738E-08
0.790557861328125,3.06666287508878E-06,-2.58332619935405E-08
0.79559326171875,3.11925648610829E-06,-2.46736600801553E-08
0.800628662109375,3.17185009712781E-06,-2.26593017578136E-08
0.8056640625,3.22444370814732E-06,-2.58316106094439E-08
0.810699462890625,3.27703731916684E-06,-2.45967055812047E-08
0.81573486328125,3.32963093018635E-06,-2.56644905387601E-08
0.820770263671875,3.38222454120587E-06,-2.54468381146866E-08
0.8258056640625,3.43481815222538E-06,-2.55938112993803E-08
0.830841064453125,3.4874117632449E-06,-2.53431311933525E-08
0.83587646484375,3.54000537426441E-06,-2.58626566304806E-08
0.840911865234375,3.59259898528392E-06,-2.63293377764824E-08
0.845947265625,3.64519259630344E-06,-2.68528265354437E-08
0.850982666015625,3.69928500353E-06,-2.72395806911183E-08
0.85601806640625,3.75337741075656E-06,-2.77280601072105E-08
0.861053466796875,3.80916083529914E-06,-2.80553644353695E-08
0.8660888671875,3.86494425984172E-06,-2.80365386566553E-08
0.871124267578125,3.92173502868388E-06,-2.8754230185506E-08
0.87615966796875,3.97852579752604E-06,-2.88404324354035E-08
0.881195068359375,4.03781147746297E-06,-3.04452475015224E-08
0.88623046875,4.09709715739989E-06,-3.02388244893135E-08
0.891265869140625,4.15916674064867E-06,-3.18307587594695E-08
0.89630126953125,4.22123632389746E-06,-3.18188687939669E-08
0.901336669921875,4.28617237966298E-06,-3.3117186971557E-08
0.9063720703125,4.3511084354285E-06,-3.319348091687E-08
0.911407470703125,4.41906090938684E-06,-3.47589930414647E-08
0.91644287109375,4.48701338334517E-06,-3.49347003094554E-08
0.921478271484375,4.5552563953033E-06,-3.330831164867E-08
0.926513671875,4.62349940726142E-06,-3.06435326672673E-08
0.931549072265625,4.69174035630572E-06,-2.56898540735778E-08
0.93658447265625,4.75998130535002E-06,-1.91231034932815E-08
0.941619873046875,4.82821917561904E-06,-1.30447260451769E-08
0.9466552734375,4.89645704588806E-06,-6.57530084274087E-09
0.951690673828125,4.96469083699883E-06,-9.49947354622504E-10
0.95672607421875,5.03292462810961E-06,4.11657775484356E-09
0.961761474609375,5.10115335888187E-06,1.09465569900156E-08
0.966796875,5.16938208965414E-06,1.75255258423433E-08
0.971832275390625,5.23760480174855E-06,2.54659694398944E-08
0.97686767578125,5.30582751384297E-06,3.34196241102282E-08
0.981903076171875,5.37404327529986E-06,4.01991595114208E-08
0.9869384765625,5.44225903675676E-06,4.69522727670504E-08
0.991973876953125,5.5104669454226E-06,5.0485773733249E-08
0.99700927734375,5.57867485408843E-06,5.54130428778811E-08
1.00204467773438,5.64687404091736E-06,6.02261708825572E-08
1.007080078125,5.71507322774629E-06,6.25159839859869E-08
1.01211547851563,5.78326285996489E-06,6.25985336870273E-08
1.01715087890625,5.8514524921835E-06,6.03863200459412E-08
1.02218627929688,5.91963177630725E-06,5.86124932578259E-08
1.0272216796875,5.98781106043099E-06,5.48213356559922E-08
1.03225708007813,6.05597924512157E-06,5.0076869174291E-08
1.03729248046875,6.12414742981215E-06,4.86061065278156E-08
1.04232788085938,6.19230380856539E-06,4.65856792254623E-08
1.04736328125,6.26046018731864E-06,4.17948899608485E-08
1.05239868164063,6.32860410097358E-06,3.79822952148645E-08
1.05743408203125,6.39674801462853E-06,3.28525565125739E-08
1.06246948242188,6.46487885368858E-06,3.06819616354243E-08
1.0675048828125,6.53300969274862E-06,2.82286498007545E-08
1.07254028320313,6.60112689950685E-06,2.90547474594609E-08
1.07757568359375,6.66924410626509E-06,2.16543100971994E-08
1.08261108398438,6.73734717672617E-06,3.23090500223474E-08
1.087646484375,6.80545024718725E-06,5.59714122080474E-08
1.09268188476563,6.87353873277946E-06,9.29149185496851E-08
1.09771728515625,6.94162721837167E-06,1.36203703148221E-07
1.10275268554688,7.00970072744319E-06,1.84807746667333E-07
1.1077880859375,7.07777423651472E-06,2.31780222697946E-07
1.11282348632813,7.14583243560927E-06,2.73295982359485E-07
1.11785888671875,7.21389063470381E-06,3.03302255413884E-07
1.12289428710938,7.28193324961144E-06,3.50129918340405E-07
1.1279296875,7.34997586451906E-06,4.00339615898964E-07
1.13296508789063,7.41800268109893E-06,4.52890260594799E-07
1.13800048828125,7.4860294976788E-06,5.12367470749911E-07
1.14303588867188,7.55404036245155E-06,5.78454279137328E-07
1.1480712890625,7.62205122722431E-06,6.46292875775559E-07
1.15310668945313,7.69004604773246E-06,7.16878245422304E-07
1.15814208984375,7.75804086824061E-06,7.90066196406984E-07
1.16317749023438,7.82601961317639E-06,8.64580761383947E-07
1.168212890625,7.89399835811217E-06,9.32002301384585E-07
1.17324829101563,7.96196105721309E-06,9.95311426975902E-07
1.17828369140625,8.02992375631401E-06,1.05833915671698E-06
1.18331909179688,8.09787050002727E-06,1.11908939961086E-06
1.1883544921875,8.16581724374053E-06,1.17693452760011E-06
1.19338989257813,8.23374818265833E-06,1.2336791247348E-06
1.19842529296875,8.30167912157612E-06,1.28560035919701E-06
1.20346069335938,8.36959446564468E-06,1.33051814553971E-06
1.20849609375,8.43750980971323E-06,1.36576278439189E-06
1.21353149414063,8.50540982721937E-06,1.3939865324431E-06
1.21856689453125,8.57330984472552E-06,1.41610015933293E-06
1.22360229492188,8.64119486106536E-06,1.4311251935545E-06
1.2286376953125,8.7090798774052E-06,1.43874277926755E-06
1.23367309570313,8.7769502736403E-06,1.43775872341733E-06
1.23870849609375,8.84482066987539E-06,1.42646210415396E-06
1.24374389648438,8.9126768810826E-06,1.40514453903375E-06
1.248779296875,8.9805330922898E-06,1.37413400981382E-06
1.25381469726563,9.04837560571183E-06,1.33661090842508E-06
1.25885009765625,9.11621811913386E-06,1.29620779316999E-06
1.26388549804688,9.18404747213821E-06,1.24882918083122E-06
1.2689208984375,9.25187682514256E-06,1.19911220861015E-06
1.27395629882813,9.31969360299728E-06,1.14809991533335E-06
1.27899169921875,9.387510380852E-06,1.09815771895185E-06
1.28402709960938,9.45531521432734E-06,1.0470384703994E-06
1.2890625,9.52312004780268E-06,1.00005428762752E-06
1.29409790039063,9.59091361060845E-06,9.53464496635873E-07
1.29913330078125,9.65870717341422E-06,9.09649030928313E-07
1.30416870117188,9.72649017948316E-06,8.64285215369384E-07
1.3092041015625,9.7942731855521E-06,8.2573831336565E-07
1.31423950195313,9.86204638618013E-06,7.89883064577449E-07
1.31927490234375,9.92981958680816E-06,7.57634438658569E-07
