"Potential.applied..V.","Time..s.","WE.1..Current..A.","WE.1..Potential..V.","Scan","Index","Q.","Q..1","Current.range"
0.853424072265625,54.3379298628099,1.48101806640625e-06,0.853271484375,2,6991,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.854034423828125,54.3403708628038,1.5240478515625e-06,0.8538818359375,2,6992,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.854644775390625,54.3428118627976,1.51824951171875e-06,0.8544921875,2,6993,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.855255126953125,54.3452528627914,1.5155029296875e-06,0.85540771484375,2,6994,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.855865478515625,54.3476938627853,1.39495849609375e-06,0.855712890625,2,6995,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.856475830078125,54.3501348627791,1.32904052734375e-06,0.855712890625,2,6996,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.857086181640625,54.3525758627729,1.326904296875e-06,0.85662841796875,2,6997,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.857696533203125,54.3550168627668,1.36688232421875e-06,0.85723876953125,2,6998,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.858306884765625,54.3574578627606,1.43951416015625e-06,0.858154296875,2,6999,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.858917236328125,54.3598988627544,1.54205322265625e-06,0.8587646484375,2,7000,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.859527587890625,54.3623398627483,1.52099609375e-06,0.85968017578125,2,7001,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.860137939453125,54.3647808627421,1.483154296875e-06,0.8599853515625,2,7002,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.860748291015625,54.367221862736,1.42791748046875e-06,0.86029052734375,2,7003,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.861358642578125,54.3696628627298,1.31927490234375e-06,0.86090087890625,2,7004,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.861968994140625,54.3721038627236,1.31744384765625e-06,0.8612060546875,2,7005,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.862579345703125,54.3745448627175,1.35711669921875e-06,0.86212158203125,2,7006,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.863189697265625,54.3769858627113,1.4111328125e-06,0.8624267578125,2,7007,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.863800048828125,54.3794268627051,1.53717041015625e-06,0.863037109375,2,7008,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.864410400390625,54.381867862699,1.56036376953125e-06,0.8642578125,2,7009,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.865020751953125,54.3843088626928,1.51611328125e-06,0.8642578125,2,7010,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
0.865631103515625,54.3867498626867,1.44866943359375e-06,0.8648681640625,2,7011,2.89621493965387e-05,-6.43973991274832e-06,"1 µA"
