Potential applied (V),Fitted Smoothed WE(1).δ.Current,Corrected Smoothed WE(1).δ.Current (A)
0,9.66938894032395E-07,-3.54803836706914E-07
0.005035400390625,9.87150464739361E-07,3.34592265999948E-07
0.01007080078125,1.00736203544633E-06,9.40349066927861E-07
0.015106201171875,1.02757360615328E-06,1.3394675151603E-06
0.0201416015625,1.04778517686023E-06,1.41351562764126E-06
0.025177001953125,1.06799674756717E-06,1.04952552101711E-06
0.03021240234375,1.08820831827411E-06,9.23875057334663E-07
0.035247802734375,1.10841988898102E-06,8.25592652026152E-07
0.040283203125,1.12863145968793E-06,7.41763160340478E-07
0.045318603515625,1.14884303039482E-06,6.6692512478984E-07
0.05035400390625,1.16905460110171E-06,5.99984668547916E-07
0.055389404296875,1.18926617180856E-06,5.41549500962677E-07
0.0604248046875,1.20947774251542E-06,4.88224508440006E-07
0.065460205078125,1.22968931322224E-06,4.38963241904921E-07
0.07049560546875,1.24990088392907E-06,3.9378749962748E-07
0.075531005859375,1.27011245463586E-06,3.51294662010518E-07
0.08056640625,1.29032402534265E-06,3.12653908995151E-07
0.085601806640625,1.3105355960494E-06,2.77729166531769E-07
0.09063720703125,1.33074716675615E-06,2.46557689845577E-07
0.095672607421875,1.35095873746287E-06,2.19497499008989E-07
0.1007080078125,1.37117030816959E-06,1.94173243135874E-07
0.105743408203125,1.39138187887628E-06,1.70935544097886E-07
0.11077880859375,1.41159344958296E-06,1.49488605975415E-07
0.115814208984375,1.43180502028961E-06,1.29519986897213E-07
0.120849609375,1.45201659099626E-06,1.11153474615211E-07
0.125885009765625,1.47222816170288E-06,9.45297670545584E-08
0.13092041015625,1.4924397324095E-06,7.89024386030783E-08
0.135955810546875,1.5126513031161E-06,6.53452852564692E-08
0.1409912109375,1.53286287382269E-06,5.33364696398383E-08
0.146026611328125,1.55307444452926E-06,4.275444988362E-08
0.15106201171875,1.57328601523583E-06,3.3003406605351E-08
0.156097412109375,1.59349758594238E-06,2.46276360036435E-08
0.1611328125,1.61370915664893E-06,1.62452598655456E-08
0.166168212890625,1.63392072735547E-06,9.04263252683999E-09
0.17120361328125,1.654132298062E-06,2.54547647466009E-09
0.176239013671875,1.67434386876853E-06,-1.32135498673563E-09
0.1812744140625,1.69455543947505E-06,-4.18414491674606E-09
0.186309814453125,1.71476701018157E-06,-6.73383242183298E-09
0.19134521484375,1.73497858088809E-06,-8.88058220708738E-09
0.196380615234375,1.75519015159462E-06,-8.84882609069151E-09
0.201416015625,1.77540172230114E-06,-9.85149697307857E-09
