"Potential.applied..V.","Fitted.Smoothed.WE.1..Î..Current","Corrected.Smoothed.WE.1..Î..Current..A."
0,6.59311798227814e-07,-2.20889136904759e-08
0.005035400390625,6.69754465301951e-07,1.16462466163389e-08
0.01007080078125,6.80197132376088e-07,4.29175418494259e-08
0.015106201171875,6.90639799450225e-07,6.42765691746397e-08
0.0201416015625,7.01082466524362e-07,6.81599894246381e-08
0.025177001953125,7.11525133598499e-07,4.71365741598916e-08
0.03021240234375,7.21967800672636e-07,4.24935680367813e-08
0.035247802734375,7.32410467746773e-07,3.86022719549326e-08
0.040283203125,7.4285313482091e-07,3.39473758663192e-08
0.045318603515625,7.53295801895047e-07,2.92026444827947e-08
0.05035400390625,7.63738468969183e-07,2.50392003016501e-08
0.055389404296875,7.7418113604332e-07,2.09391692698565e-08
0.0604248046875,7.84623803117457e-07,1.67281652266991e-08
0.065460205078125,7.95066470191594e-07,1.27628871372755e-08
0.07049560546875,8.0550913726573e-07,9.71709971343634e-09
0.075531005859375,8.15951804339867e-07,6.97120364173465e-09
0.08056640625,8.26394471414004e-07,4.63881414809006e-09
0.085601806640625,8.36837138488141e-07,2.73446341256271e-09
0.09063720703125,8.47279805562278e-07,1.49462963793885e-09
0.095672607421875,8.57722472636414e-07,1.86098284852082e-10
0.1007080078125,8.68165139710551e-07,-1.00353341320223e-09
0.105743408203125,8.78607806784688e-07,-2.04652220338344e-09
0.11077880859375,8.89050473858824e-07,-2.53596704402465e-09
0.115814208984375,8.99493140932961e-07,-3.85638836261455e-09
0.120849609375,9.09935808007098e-07,-4.58363251332033e-09
0.125885009765625,9.20378475081234e-07,-5.17744482893438e-09
0.13092041015625,9.30821142155371e-07,-5.22431873139875e-09
0.135955810546875,9.42146994850852e-07,-6.10153396408283e-09
0.1409912109375,9.53472847546334e-07,-5.99716648910977e-09
0.146026611328125,9.65799439005005e-07,-6.32942496956162e-09
0.15106201171875,9.78126030463677e-07,-6.02887306378523e-09
0.156097412109375,9.90894202030066e-07,-6.73929850260427e-09
0.1611328125,1.00366237359646e-06,-6.58836199607675e-09
0.166168212890625,1.01706897025501e-06,-6.8182346624731e-09
0.17120361328125,1.03047556691356e-06,-6.7455737621754e-09
0.176239013671875,1.04478414956625e-06,-7.56300889052364e-09
0.1812744140625,1.05909273221895e-06,-7.41471459855259e-09
0.186309814453125,1.07442748494995e-06,-7.9200381324406e-09
0.19134521484375,1.08976223768094e-06,-7.83879003483513e-09
0.196380615234375,1.10543981775061e-06,-7.83879003483492e-09
0.201416015625,1.12111739782028e-06,-8.00260733732409e-09
0.206451416015625,1.1373858431201e-06,-8.26583796249311e-09
0.21148681640625,1.15365428841991e-06,-8.48150872564937e-09
0.216522216796875,1.17115565708705e-06,-9.01985994149065e-09
0.2215576171875,1.18865702575419e-06,-8.85273987080621e-09
0.226593017578125,1.20720735360018e-06,-9.69758797517582e-09
0.23162841796875,1.22575768144616e-06,-9.38250388933994e-09
0.236663818359375,1.24513931604691e-06,-9.99913071141104e-09
0.24169921875,1.26452095064766e-06,-1.02498108174378e-08
0.246734619140625,1.28589349391657e-06,-1.11227324514676e-08
0.25177001953125,1.30726603718547e-06,-1.13020727644751e-08
0.256805419921875,1.32948210745147e-06,-1.09139975015221e-08
0.2618408203125,1.35169817771747e-06,-1.12261090959823e-08
